method	arm	trainer	seed	val_bpb_true	train_bpb_true	val_bpb	train_bpb	byte_factor	core	depth	vocab_size	tokenizer_id	log	task_agi_eval_lsat_ar	task_arc_challenge	task_arc_easy	task_bigbench_cs_algorithms	task_bigbench_dyck_languages	task_bigbench_language_identification	task_bigbench_operators	task_bigbench_qa_wikidata	task_bigbench_repeat_copy_logic	task_boolq	task_commonsense_qa	task_copa	task_coqa	task_hellaswag	task_hellaswag_zeroshot	task_jeopardy	task_lambada_openai	task_openbook_qa	task_piqa	task_squad	task_winograd	task_winogrande
bnd_w_bpe	bnd_w	bpe	0	0.8762824867234257	0.7514759531451529	1.015613	0.870962	0.8628114121455964	0.1403	12	34686	bnd_w_bpe_d12_s0	bnd_w_bpe_d12_s0.log	0.081522	0.043231	0.356341	0.387879	0.153	0.180968	0.104762	0.277152	0.0	-0.267504	0.125717	0.02	0.19767	0.159796	0.161256	0.009447	0.301184	0.146667	0.360174	0.173226	0.084249	0.030781
bnd_w_bpe	bnd_w	bpe	1	0.8764127712466595	0.7521670650862815	1.015764	0.871763	0.8628114121455964	0.1357	12	34686	bnd_w_bpe_d12_s1	bnd_w_bpe_d12_s1.log	0.016304	0.015927	0.363075	0.425758	0.154	0.182618	0.1	0.226072	0.03125	-0.296475	0.064292	0.1	0.183014	0.151829	0.15953	0.00803	0.294003	0.085333	0.353645	0.151466	0.208791	0.007103
bnd_w_bpe	bnd_w	bpe	2	0.8776690246627437	0.754936689719269	1.01722	0.874973	0.8628114121455964	0.1472	12	34686	bnd_w_bpe_d12_s2	bnd_w_bpe_d12_s2.log	0.054348	0.039818	0.363636	0.415152	0.142	0.184598	0.12381	0.252793	0.0	-0.243361	0.205569	0.14	0.189277	0.154086	0.15714	0.008503	0.291481	0.093333	0.337323	0.140019	0.179487	0.008682
bnd_wpd_bpe	bnd_wpd	bpe	0	0.8805600072634139	0.7569650412539174	1.045273	0.898559	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s0	bnd_wpd_bpe_d12_s0.log																						
bnd_wpd_bpe	bnd_wpd	bpe	1	0.8797437012390181	0.7580677704447678	1.044304	0.899868	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s1	bnd_wpd_bpe_d12_s1.log																						
bnd_wpd_bpe	bnd_wpd	bpe	2	0.8796923135532719	0.7586566227781555	1.044243	0.900567	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s2	bnd_wpd_bpe_d12_s2.log																						
bnd_wpd_bpe	bnd_wpd	bpe	3	0.8806543584241284	0.75981158207583	1.045385	0.901938	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s3	bnd_wpd_bpe_d12_s3.log																						
bnd_wpd_bpe	bnd_wpd	bpe	4	0.8801177361975648	0.7602926045112582	1.044748	0.902509	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s4	bnd_wpd_bpe_d12_s4.log																						
bnd_wpd_bpe	bnd_wpd	bpe	5	0.8788263046852854	0.7584224297185249	1.043215	0.900289	0.8424210778078205		12	34686	bnd_wpd_bpe_d12_s5	bnd_wpd_bpe_d12_s5.log																						
bnd_wpd_caps_bpe	bnd_wpd_caps	bpe	0	0.879609468763971	0.7563911508353451	1.044074	0.897817	0.8424780894495706		12	34686	bnd_wpd_caps_bpe_d12_s0	bnd_wpd_caps_bpe_d12_s0.log																						
bnd_wpd_caps_bpe	bnd_wpd_caps	bpe	1	0.8787669906745215	0.7555436178773589	1.043074	0.896811	0.8424780894495706		12	34686	bnd_wpd_caps_bpe_d12_s1	bnd_wpd_caps_bpe_d12_s1.log																						
bnd_wpd_caps_bpe	bnd_wpd_caps	bpe	2	0.8802329025501636	0.7594864153359828	1.044814	0.901491	0.8424780894495706		12	34686	bnd_wpd_caps_bpe_d12_s2	bnd_wpd_caps_bpe_d12_s2.log																						
plain_bpe	plain	bpe	0	0.8853697181758982	0.761010206765105	0.884825	0.760542	1.0006156224969889	0.1364	12	34686	plain_bpe_d12_s0	plain_bpe_d12_s0.log	0.043478	0.03413	0.362514	0.408333	0.121	0.182948	0.090476	0.248315	0.0	-0.326251	0.106265	0.12	0.187148	0.15714	0.166965	0.010864	0.291481	0.122667	0.357998	0.206623	0.084249	0.024467
plain_bpe	plain	bpe	1	0.8849794780831244	0.7603107764449796	0.884435	0.759843	1.0006156224969889	0.1407	12	34686	plain_bpe_d12_s1	plain_bpe_d12_s1.log	0.027174	0.030717	0.365881	0.369697	0.124	0.183058	0.1	0.251415	0.0	-0.206342	0.097052	0.16	0.187649	0.152493	0.165638	0.015116	0.287017	0.104	0.331882	0.192904	0.120879	0.035517
plain_bpe	plain	bpe	2	0.885596857922205	0.7647805264306736	0.885052	0.76431	1.0006156224969889	0.138	12	34686	plain_bpe_d12_s2	plain_bpe_d12_s2.log	0.027174	0.050057	0.364197	0.423485	0.128	0.184268	0.109524	0.21805	0.0	-0.389023	0.0776	0.1	0.201679	0.152095	0.158866	0.01606	0.288182	0.117333	0.365615	0.209461	0.238095	-0.003946
