# d24 downstream eval, f=1.15 arms (mingram, unigram-bpe-init, fsp-bpe-init), FineWeb-en,
# matched vocab 34,685, ratio 8 (5.86B tok), n=20 seeds (45-64), native 8-GPU eval (val_bpb
# comparable to the main d24_results.tsv). Supersedes the n=4 f115_bundle/f115_results.tsv.
# mingram_f1.15 here = MinGram at MAIN_F=1.15 (the paper-canonical factor); the main table's
# 'mingram' key is the older f=1.25 model. Seeds 45-61 overlap the main table for pairing.
method	seed	core	val_bpb
mingram_f1.15	45	0.2647	0.712555
mingram_f1.15	46	0.2654	0.711771
mingram_f1.15	47	0.2668	0.712295
mingram_f1.15	48	0.2643	0.712240
mingram_f1.15	49	0.2681	0.712004
mingram_f1.15	50	0.2780	0.712543
mingram_f1.15	51	0.2700	0.712263
mingram_f1.15	52	0.2642	0.712321
mingram_f1.15	53	0.2559	0.712556
mingram_f1.15	54	0.2681	0.712357
mingram_f1.15	55	0.2701	0.712223
mingram_f1.15	56	0.2678	0.712174
mingram_f1.15	57	0.2534	0.712565
mingram_f1.15	58	0.2764	0.712637
mingram_f1.15	59	0.2693	0.712209
mingram_f1.15	60	0.2657	0.711982
mingram_f1.15	61	0.2675	0.712378
mingram_f1.15	62	0.2693	0.712660
mingram_f1.15	63	0.2629	0.712642
mingram_f1.15	64	0.2634	0.712326
bpe_init_f1.15	45	0.2578	0.712319
bpe_init_f1.15	46	0.2740	0.711898
bpe_init_f1.15	47	0.2718	0.711969
bpe_init_f1.15	48	0.2687	0.712333
bpe_init_f1.15	49	0.2537	0.712054
bpe_init_f1.15	50	0.2671	0.712703
bpe_init_f1.15	51	0.2608	0.712057
bpe_init_f1.15	52	0.2729	0.712469
bpe_init_f1.15	53	0.2663	0.712617
bpe_init_f1.15	54	0.2611	0.711883
bpe_init_f1.15	55	0.2755	0.712175
bpe_init_f1.15	56	0.2636	0.712058
bpe_init_f1.15	57	0.2639	0.712687
bpe_init_f1.15	58	0.2673	0.712178
bpe_init_f1.15	59	0.2759	0.711861
bpe_init_f1.15	60	0.2593	0.712479
bpe_init_f1.15	61	0.2526	0.712573
bpe_init_f1.15	62	0.2629	0.712192
bpe_init_f1.15	63	0.2526	0.712169
bpe_init_f1.15	64	0.2603	0.712084
fsp_bpe_init_f1.15	45	0.2626	0.712908
fsp_bpe_init_f1.15	46	0.2620	0.712242
fsp_bpe_init_f1.15	47	0.2724	0.712048
fsp_bpe_init_f1.15	48	0.2679	0.712400
fsp_bpe_init_f1.15	49	0.2612	0.712387
fsp_bpe_init_f1.15	50	0.2668	0.712786
fsp_bpe_init_f1.15	51	0.2594	0.712994
fsp_bpe_init_f1.15	52	0.2703	0.712725
fsp_bpe_init_f1.15	53	0.2668	0.712572
fsp_bpe_init_f1.15	54	0.2688	0.712763
fsp_bpe_init_f1.15	55	0.2742	0.712626
fsp_bpe_init_f1.15	56	0.2636	0.712648
fsp_bpe_init_f1.15	57	0.2656	0.712746
fsp_bpe_init_f1.15	58	0.2678	0.712555
fsp_bpe_init_f1.15	59	0.2593	0.712327
fsp_bpe_init_f1.15	60	0.2710	0.712359
fsp_bpe_init_f1.15	61	0.2757	0.712737
fsp_bpe_init_f1.15	62	0.2550	0.712377
fsp_bpe_init_f1.15	63	0.2719	0.712387
fsp_bpe_init_f1.15	64	0.2615	0.712200
