# Master per-run downstream results: one row per (method, seed).
# val_bpb/train_bpb (6-dec from run logs), core (DCLM CORE = centered mean of 22 tasks),
# then the 22 per-task CENTERED accuracies. All paper downstream tables derive from this.
method	seed	val_bpb	train_bpb	core	hellaswag_zeroshot	jeopardy	bigbench_qa_wikidata	arc_easy	arc_challenge	copa	commonsense_qa	piqa	openbook_qa	lambada_openai	hellaswag	winograd	winogrande	bigbench_dyck_languages	agi_eval_lsat_ar	bigbench_cs_algorithms	bigbench_operators	bigbench_repeat_copy_logic	squad	coqa	boolq	bigbench_language_identification
bpe	46	0.713444	0.703292	0.241795	0.398792	0.105338	0.475124	0.566779	0.196815	0.260000	0.068387	0.495103	0.205333	0.430429	0.403572	0.318681	0.138121	0.152000	0.054348	0.381818	0.161905	0.000000	0.477010	0.334210	-0.482376	0.178108
bpe	47	0.713759	0.703562	0.255271	0.392153	0.090222	0.475370	0.568462	0.172924	0.360000	0.044840	0.492927	0.186667	0.442461	0.391489	0.318681	0.130229	0.177000	0.086956	0.412879	0.157143	0.031250	0.447304	0.321684	-0.265089	0.180418
bpe	48	0.713641	0.703550	0.249549	0.395738	0.102504	0.483195	0.570707	0.185438	0.380000	0.096028	0.479869	0.218667	0.429264	0.399057	0.333333	0.142857	0.143000	0.059783	0.378030	0.190476	0.000000	0.448250	0.333709	-0.456623	0.176788
bpe	49	0.713702	0.703503	0.257533	0.397862	0.103448	0.462330	0.578002	0.194539	0.260000	0.085790	0.491839	0.184000	0.428294	0.399190	0.296703	0.127072	0.162000	0.119565	0.397727	0.176190	0.000000	0.463292	0.340348	-0.185418	0.182948
bpe	50	0.714036	0.703901	0.267755	0.394145	0.113840	0.480882	0.573513	0.189989	0.280000	0.155405	0.477693	0.213333	0.420920	0.394543	0.282051	0.134964	0.182000	0.070652	0.391667	0.185714	0.031250	0.437843	0.331955	-0.024465	0.172717
bpe	51	0.713708	0.703613	0.260996	0.396800	0.103448	0.476650	0.583053	0.191126	0.240000	0.076577	0.476605	0.194667	0.437415	0.397198	0.340659	0.136543	0.150000	0.114130	0.420455	0.195238	0.031250	0.454494	0.341601	-0.198294	0.182288
bpe	52	0.714012	0.703906	0.262008	0.392684	0.114313	0.490921	0.580808	0.179750	0.300000	0.078624	0.484222	0.194667	0.428876	0.398925	0.347985	0.146014	0.147000	0.070652	0.449242	0.161905	0.000000	0.463860	0.331454	-0.174956	0.177228
bpe	53	0.713891	0.703840	0.256776	0.398526	0.119036	0.479602	0.583053	0.202503	0.320000	0.060197	0.503808	0.210667	0.431399	0.402642	0.326007	0.097080	0.146000	0.130435	0.418939	0.176190	0.000000	0.465752	0.336841	-0.331885	0.172277
bpe	54	0.713994	0.703886	0.261985	0.398393	0.102031	0.468235	0.578002	0.194539	0.340000	0.060197	0.498368	0.170667	0.428488	0.398659	0.311355	0.100237	0.170000	0.065217	0.368182	0.185714	0.031250	0.459603	0.343605	-0.093675	0.184598
bpe	55	0.714005	0.703901	0.251100	0.403439	0.110534	0.476158	0.566218	0.184300	0.320000	0.139025	0.484222	0.213333	0.441878	0.400252	0.274725	0.136543	0.133000	0.016304	0.379545	0.161905	0.000000	0.461400	0.352624	-0.310961	0.179758
bpe	56	0.713517	0.703352	0.264438	0.396667	0.096363	0.459475	0.585297	0.195677	0.340000	0.013104	0.485310	0.213333	0.432564	0.400385	0.296703	0.093923	0.164000	0.059783	0.436364	0.147619	0.031250	0.480038	0.354503	-0.042170	0.177448
bpe	57	0.714098	0.703936	0.264976	0.394410	0.094473	0.479159	0.566218	0.193402	0.320000	0.036650	0.490751	0.208000	0.418203	0.401314	0.406593	0.136543	0.135000	0.054348	0.368939	0.161905	0.031250	0.453832	0.336966	-0.032512	0.174037
bpe	58	0.713957	0.703913	0.266883	0.397995	0.115730	0.468186	0.564534	0.183163	0.300000	0.129812	0.490751	0.221333	0.435669	0.403970	0.304029	0.111287	0.159000	0.054348	0.444697	0.200000	0.000000	0.457805	0.337467	-0.087236	0.178878
bpe	59	0.713976	0.703823	0.257674	0.395340	0.105338	0.465824	0.586981	0.184300	0.340000	0.038698	0.475517	0.197333	0.422472	0.398526	0.274725	0.138121	0.156000	0.054348	0.367424	0.204762	0.031250	0.426112	0.327947	-0.099308	0.177118
bpe	60	0.713622	0.703486	0.263258	0.396800	0.115730	0.470646	0.572391	0.179750	0.300000	0.079648	0.477693	0.210667	0.424025	0.400119	0.267399	0.128650	0.167000	0.114130	0.385606	0.147619	0.000000	0.462157	0.327696	-0.007565	0.171507
bpe	61	0.714218	0.704146	0.258914	0.393746	0.117619	0.469908	0.564534	0.175199	0.280000	0.081695	0.487486	0.208000	0.433922	0.403837	0.274725	0.133386	0.161000	0.054348	0.406818	0.190476	0.031250	0.465468	0.348365	-0.166103	0.180418
bpe	62	0.713674	0.703519	0.266082	0.396800	0.104865	0.484376	0.575196	0.193402	0.280000	0.065315	0.491839	0.194667	0.427130	0.394543	0.384615	0.114444	0.167000	0.076087	0.449242	0.190476	0.000000	0.469820	0.336465	-0.123451	0.180968
bpe	63	0.713808	0.703716	0.271813	0.399057	0.107227	0.488509	0.574635	0.179750	0.400000	0.169738	0.465724	0.200000	0.430623	0.401314	0.340659	0.131807	0.151000	0.065217	0.442424	0.166667	0.000000	0.439640	0.342102	-0.098503	0.182288
bpe	64	0.713740	0.703631	0.262229	0.400252	0.111479	0.471532	0.562851	0.180887	0.280000	0.124693	0.502720	0.205333	0.432369	0.401580	0.282051	0.086030	0.180000	0.016304	0.404545	0.157143	0.031250	0.452791	0.335713	-0.033317	0.182838
