# d24 downstream LM eval (nanochat, matched vocab 34,685, FineWeb-en, ratio 8 = 5.86B tokens).
# CORE = DCLM CORE (centered, packing-independent). val_bpb = bits-per-byte on held-out val,
# evaluated at 8-GPU world_size for ALL rows (bpb is eval-world_size-dependent; debug single-GPU
# unigram runs were re-evaluated at 8-GPU to match). Seeds 42-45. Source of truth for the
# downstream table; see project_downstream_eval memory for provenance.
method	seed	core	val_bpb
bpe	42	0.2703	0.713897
bpe	43	0.2560	0.713936
bpe	44	0.2630	0.713570
bpe	45	0.2494	0.714172
bpe	46	0.2418	0.713444
bpe	47	0.2553	0.713759
bpe	48	0.2495	0.713641
bpe	49	0.2575	0.713702
bpe	50	0.2678	0.714036
bpe	51	0.261	0.713708
bpe	52	0.262	0.714012
bpe	53	0.2568	0.713891
bpe	54	0.262	0.713994
bpe	55	0.2511	0.714005
bpe	56	0.2644	0.713517
bpe	57	0.265	0.714098
bpe	58	0.2669	0.713957
bpe	59	0.2577	0.713976
bpe	60	0.2633	0.713622
bpe	61	0.2589	0.714218
unigram_default	42	0.2606	0.712892
unigram_default	43	0.2723	0.712619
unigram_default	44	0.2653	0.712349
unigram_default	45	0.2590	0.712863
unigram_default	46	0.2689	0.712445
unigram_default	47	0.257	0.712507
unigram_default	48	0.2511	0.712774
unigram_default	49	0.2604	0.712334
unigram_default	50	0.2646	0.713219
unigram_default	51	0.2618	0.712589
unigram_default	52	0.2633	0.712844
unigram_default	53	0.2668	0.712607
unigram_default	54	0.2686	0.712734
unigram_default	55	0.2545	0.712793
unigram_default	56	0.262	0.712582
unigram_default	57	0.2547	0.712603
unigram_default	58	0.2678	0.713032
unigram_default	59	0.2634	0.712281
unigram_default	60	0.2543	0.712567
unigram_default	61	0.2737	0.712472
unigram_fsp	42	0.2660	0.712923
unigram_fsp	43	0.2721	0.712683
unigram_fsp	44	0.2619	0.712570
unigram_fsp	45	0.2641	0.712273
unigram_fsp	46	0.2634	0.71281
unigram_fsp	47	0.2781	0.713009
unigram_fsp	48	0.2724	0.712684
unigram_fsp	49	0.257	0.712366
unigram_fsp	50	0.2557	0.71286
unigram_fsp	51	0.2523	0.712667
unigram_fsp	52	0.2553	0.712866
unigram_fsp	53	0.2646	0.712722
unigram_fsp	54	0.2663	0.712797
unigram_fsp	55	0.2641	0.712826
unigram_fsp	56	0.2482	0.712746
unigram_fsp	57	0.2674	0.712501
unigram_fsp	58	0.2786	0.713004
unigram_fsp	59	0.2757	0.713094
unigram_fsp	60	0.2762	0.712366
unigram_fsp	61	0.2618	0.713016
mingram	42	0.2737	0.712218
mingram	43	0.2729	0.712410
mingram	44	0.2615	0.712365
mingram	45	0.2820	0.712605
mingram	46	0.2658	0.712253
mingram	47	0.2557	0.71224
mingram	48	0.2599	0.712162
mingram	49	0.2649	0.712329
mingram	50	0.2635	0.712757
mingram	51	0.2743	0.712213
mingram	52	0.2573	0.712541
mingram	53	0.2594	0.712815
mingram	54	0.259	0.71283
mingram	55	0.2711	0.712802
mingram	56	0.2651	0.712093
mingram	57	0.2633	0.712629
mingram	58	0.263	0.712466
mingram	59	0.275	0.71202
mingram	60	0.2737	0.712329
mingram	61	0.2688	0.712636
pathpiece	42	0.2561	0.713086
pathpiece	43	0.2628	0.713254
pathpiece	44	0.2588	0.712878
pathpiece	45	0.2730	0.713329
pathpiece	46	0.2677	0.713094
pathpiece	47	0.2654	0.712839
pathpiece	48	0.264	0.712924
pathpiece	49	0.2708	0.712878
pathpiece	50	0.2618	0.713304
pathpiece	51	0.2672	0.713592
pathpiece	52	0.268	0.713286
pathpiece	53	0.2735	0.713569
pathpiece	54	0.266	0.713177
pathpiece	55	0.2624	0.713063
pathpiece	56	0.26	0.712868
pathpiece	57	0.2624	0.713418
pathpiece	58	0.2588	0.713002
pathpiece	59	0.2622	0.713032
pathpiece	60	0.2644	0.712811
pathpiece	61	0.2607	0.713533
convextok	42	0.2647	0.713505
convextok	43	0.2683	0.712893
convextok	44	0.2673	0.712888
convextok	45	0.2614	0.713329
convextok	46	0.2585	0.713245
convextok	47	0.2597	0.712915
convextok	48	0.2627	0.713217
convextok	49	0.261	0.713097
convextok	50	0.2588	0.713412
convextok	51	0.2655	0.71325
convextok	52	0.2627	0.713023
convextok	53	0.2567	0.713226
convextok	54	0.2689	0.712899
convextok	55	0.2627	0.712973
convextok	56	0.2644	0.713345
convextok	57	0.2601	0.712954
convextok	58	0.2594	0.713415
convextok	59	0.2729	0.713013
convextok	60	0.2627	0.713125
convextok	61	0.263	0.713921
