corpus	text_source	tokenizer_id	order	vocab_size	train_docs	eval_docs	train_tokens	eval_tokens	eval_bytes	bits	bpb	bits_per_token	tokens_per_byte	oov_token_rate	roundtrip_ok	ngram_types
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	bpe	1	34684	2592	660	6500621	1315062	9009359	16176543.264541307	1.7955265479532236	12.294803358567622	0.14596621135865492	6.919825833306719e-05	True	1:32747
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	bpe	3	34684	2592	660	6500621	1315062	9009359	12538853.27446468	1.3917586450339785	9.53001718787455	0.14596621135865492	6.919825833306719e-05	True	1:32748,2:2357433,3:4906496
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	bpe	5	34684	2592	660	6500621	1315062	9009359	12463457.502106529	1.3833900394141836	9.472713462347311	0.14596621135865492	6.919825833306719e-05	True	1:32748,2:2357433,3:4906497,4:5740433,5:5997487
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	unigram	1	34684	2592	660	6565181	1327946	9009359	15762069.363815485	1.749521732213744	11.863614467957758	0.14739627980192596	8.584686425502242e-05	True	1:32757
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	unigram	3	34684	2592	660	6565181	1327946	9009359	12455833.914976545	1.3825438541162078	9.375114906132099	0.14739627980192596	8.584686425502242e-05	True	1:32758,2:2176932,3:4825534
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	unigram	5	34684	2592	660	6565181	1327946	9009359	12373093.138215054	1.3733599846798261	9.312838522643322	0.14739627980192596	8.584686425502242e-05	True	1:32758,2:2176932,3:4825535,4:5763518,5:6048108
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	fsp	1	34684	2592	660	6482918	1311139	9009359	15861446.955551326	1.7605522163731433	12.091369909224909	0.14553077527491134	6.482912948207628e-05	True	1:32842
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	fsp	3	34684	2592	660	6482918	1311139	9009359	12485238.10841778	1.385807592795201	9.517645697563253	0.14553077527491134	6.482912948207628e-05	True	1:32843,2:2281781,3:4838528
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	fsp	5	34684	2592	660	6482918	1311139	9009359	12408310.664034802	1.3772689781853296	9.459002990576149	0.14553077527491134	6.482912948207628e-05	True	1:32843,2:2281781,3:4838529,4:5712592,5:5981261
fineweb_ar_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/arb_Arab/train/000_00000.parquet	bpe_init_f1.15	1	34684	2592	660	6434900	1300740	9009359	15884085.809824347	1.7630650315770908	12.205383287094167	0.14437653111614268	6.919138336639144e-05	True	1:32823
