corpus	text_source	tokenizer_id	order	vocab_size	train_docs	eval_docs	train_tokens	eval_tokens	eval_bytes	bits	bpb	bits_per_token	tokens_per_byte	oov_token_rate	roundtrip_ok	ngram_types
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe	1	34684	8097	1639	5778349	1151888	5034570	12691685.715855386	2.520907588106906	11.002504246415894	0.2287957064853602	0.00010417679496617726	True	1:33316
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe	2	34684	8097	1639	5778349	1151888	5034570	10133062.350494042	2.012696685217217	8.784417140209152	0.2287957064853602	0.00010417679496617726	True	1:33317,2:1553343
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe	3	34684	8097	1639	5778349	1151888	5034570	9796383.275579948	1.945823233281084	8.492547877578893	0.2287957064853602	0.00010417679496617726	True	1:33317,2:1553344,3:3854117
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe	4	34684	8097	1639	5778349	1151888	5034570	9757718.817939188	1.938143439844751	8.4590294097487	0.2287957064853602	0.00010417679496617726	True	1:33317,2:1553344,3:3854118,4:5075190
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe	5	34684	8097	1639	5778349	1151888	5034570	9750888.943462959	1.936786844450064	8.453108547492134	0.2287957064853602	0.00010417679496617726	True	1:33317,2:1553344,3:3854118,4:5075191,5:5503070
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	unigram	1	34684	8097	1639	5769971	1150011	5034570	12442724.87294447	2.471457318687489	10.804258996174594	0.22842288417878787	7.478189339058495e-05	True	1:33502
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	unigram	2	34684	8097	1639	5769971	1150011	5034570	10127638.289680498	2.0116193219441776	8.79402447764555	0.22842288417878787	7.478189339058495e-05	True	1:33503,2:1510418
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	unigram	3	34684	8097	1639	5769971	1150011	5034570	9775962.434556227	1.941767109118798	8.488657521431188	0.22842288417878787	7.478189339058495e-05	True	1:33503,2:1510419,3:3801626
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	unigram	4	34684	8097	1639	5769971	1150011	5034570	9736053.71791792	1.9338401726300198	8.45400400982757	0.22842288417878787	7.478189339058495e-05	True	1:33503,2:1510419,3:3801627,4:5051962
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	unigram	5	34684	8097	1639	5769971	1150011	5034570	9728603.393414257	1.9323603392969524	8.44753474876417	0.22842288417878787	7.478189339058495e-05	True	1:33503,2:1510419,3:3801627,4:5051963,5:5490386
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp	1	34684	8097	1639	5753263	1147188	5034570	12521966.101158377	2.487196741957779	10.899783954553973	0.2278621610187166	5.578858914144848e-05	True	1:33484
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp	2	34684	8097	1639	5753263	1147188	5034570	10130660.226293601	2.01221955922623	8.818264391673942	0.2278621610187166	5.578858914144848e-05	True	1:33485,2:1538172
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp	3	34684	8097	1639	5753263	1147188	5034570	9781782.122903725	1.9429230545813694	8.514582372196793	0.2278621610187166	5.578858914144848e-05	True	1:33485,2:1538173,3:3813529
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp	4	34684	8097	1639	5753263	1147188	5034570	9743674.090197928	1.9353537819909006	8.48141111777311	0.2278621610187166	5.578858914144848e-05	True	1:33485,2:1538173,3:3813530,4:5045336
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp	5	34684	8097	1639	5753263	1147188	5034570	9736525.07604504	1.9339337969369856	8.475188236388107	0.2278621610187166	5.578858914144848e-05	True	1:33485,2:1538173,3:3813530,4:5045337,5:5478516
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe_init_f1.15	1	34684	8097	1639	5742815	1144914	5034570	12511603.09719093	2.4851383727291365	10.912363490559033	0.22741048391421712	6.376024749457164e-05	True	1:33488
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe_init_f1.15	2	34684	8097	1639	5742815	1144914	5034570	10122704.680695202	2.0106393754968552	8.828815310496072	0.22741048391421712	6.376024749457164e-05	True	1:33489,2:1544326
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe_init_f1.15	3	34684	8097	1639	5742815	1144914	5034570	9786446.348047482	1.9438494942065523	8.535537692585935	0.22741048391421712	6.376024749457164e-05	True	1:33489,2:1544327,3:3822006
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe_init_f1.15	4	34684	8097	1639	5742815	1144914	5034570	9747782.048091782	1.9361697320906814	8.501815483533498	0.22741048391421712	6.376024749457164e-05	True	1:33489,2:1544327,3:3822007,4:5043286
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	bpe_init_f1.15	5	34684	8097	1639	5742815	1144914	5034570	9740923.45640365	1.9348074326911038	8.495833560597417	0.22741048391421712	6.376024749457164e-05	True	1:33489,2:1544327,3:3822007,4:5043287,5:5470842
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp_bpe_init_f1.15	1	34684	8097	1639	5744505	1145169	5034570	12514596.19395098	2.4857328816464923	10.91254699474627	0.22746113372144988	6.199958259435943e-05	True	1:33417
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp_bpe_init_f1.15	2	34684	8097	1639	5744505	1145169	5034570	10122760.67881158	2.010650498217639	8.826900997212768	0.22746113372144988	6.199958259435943e-05	True	1:33418,2:1543694
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp_bpe_init_f1.15	3	34684	8097	1639	5744505	1145169	5034570	9786498.648349434	1.943859882442678	8.533685366992064	0.22746113372144988	6.199958259435943e-05	True	1:33418,2:1543695,3:3822139
fineweb_en_5gb	parquet:/tmp/claude-0/-home-user-script-tok/7cda6375-6c3b-5955-885d-f6865119d2e6/scratchpad/hfdata/sample/10BT/000_00000.parquet	fsp_bpe_init_f1.15	4	34684	8097	1639	5744505	1145169	5034570	9747873.959308373	1.936187988111869	8.500005196430765	0.22746113372144988	6.199958259435943e-05	True	1:33418,2:1543695,3:3822140,4:5044240
