corpus	text_source	tokenizer_id	order	vocab_size	train_docs	eval_docs	train_tokens	eval_tokens	eval_bytes	bits	bpb	bits_per_token	tokens_per_byte	oov_token_rate	roundtrip_ok	ngram_types
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	bpe	1	34684	3973	1050	6118956	1239248	8946857	14829548.45238253	1.6575148627481728	11.956439865566605	0.13851210542428474	0.00015977431474571675	True	1:33051
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	bpe	3	34684	3973	1050	6118956	1239248	8946857	10784393.043789405	1.2053834149567166	8.69500155913289	0.13851210542428474	0.00015977431474571675	True	1:33052,2:1890772,3:4296411
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	bpe	5	34684	3973	1050	6118956	1239248	8946857	10718392.53951789	1.1980064663510204	8.641788134398258	0.13851210542428474	0.00015977431474571675	True	1:33052,2:1890772,3:4296412,4:5331573,5:5692877
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	unigram	1	34684	3973	1050	6198252	1252830	8946857	14407734.121524017	1.6103682132757926	11.490520720901536	0.14003018043096027	0.00014606929910682216	True	1:33106
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	unigram	3	34684	3973	1050	6198252	1252830	8946857	10768442.894062832	1.203600649262957	8.58809686258879	0.14003018043096027	0.00014606929910682216	True	1:33107,2:1754295,3:4188180
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	unigram	5	34684	3973	1050	6198252	1252830	8946857	10690261.360163108	1.1948622136425235	8.525745175106954	0.14003018043096027	0.00014606929910682216	True	1:33107,2:1754295,3:4188181,4:5335861,5:5742880
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	fsp	1	34684	3973	1050	6125882	1237881	8946857	14536395.518297154	1.62474883842417	11.733014605572993	0.13835931433798485	0.00014298628058755244	True	1:33120
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	fsp	3	34684	3973	1050	6125882	1237881	8946857	10784218.909197357	1.205363951742758	8.704454815641352	0.13835931433798485	0.00014298628058755244	True	1:33121,2:1841526,3:4217809
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	fsp	5	34684	3973	1050	6125882	1237881	8946857	10715409.272504028	1.1976730233314368	8.648915292703167	0.13835931433798485	0.00014298628058755244	True	1:33121,2:1841526,3:4217810,4:5297514,5:5686524
fineweb_ru_5gb	parquet:hf://datasets/HuggingFaceFW/fineweb-2/data/rus_Cyrl/train/000_00000.parquet	bpe_init_f1.15	1	34684	3973	1050	6068719	1227549	8946857	14574170.15293978	1.6289709506857861	11.862430421105486	0.13720449538871585	0.00015152144639440056	True	1:33105
