run	tokenizer_id	order	vocab_size	train_docs	eval_docs	train_tokens	eval_tokens	eval_bytes	bits	bpb	bits_per_token	tokens_per_byte	oov_token_rate	roundtrip_ok	ngram_types
full-128k-allmulti-equal-bpe	full-128k-allmulti-equal-bpe	1	128256	5602	1219	6450676	1381633	6245373	17873018.60984897	2.861801626556007	12.924751607438084	0.22122505733444583	0.007002583175126824	True	1:111179
full-128k-allmulti-equal-bpe	full-128k-allmulti-equal-bpe	2	128256	5602	1219	6450676	1381633	6245373	14433089.865994515	2.3110052619746675	10.43719057859736	0.22122505733444583	0.007002583175126824	True	1:111180,2:2215721
full-128k-allmulti-equal-bpe	full-128k-allmulti-equal-bpe	3	128256	5602	1219	6450676	1381633	6245373	14027650.178970743	2.246086851653335	10.143999631898962	0.22122505733444583	0.007002583175126824	True	1:111180,2:2215722,3:4386797
full-128k-apertus	full-128k-apertus	1	131072	5602	1219	6821568	1454505	6245373	18382043.978582285	2.943306024889512	12.627423865088634	0.2328932155053029	0.005109642111921238	True	1:102798
full-128k-apertus	full-128k-apertus	2	131072	5602	1219	6821568	1454505	6245373	14487751.628891576	2.3197576235865456	9.952265421804942	0.2328932155053029	0.005109642111921238	True	1:102799,2:2123481
full-128k-apertus	full-128k-apertus	3	131072	5602	1219	6821568	1454505	6245373	14011085.69772132	2.2434345711171004	9.624822904425097	0.2328932155053029	0.005109642111921238	True	1:102799,2:2123482,3:4318589
full-128k-bpe-nfc-clean-balanced	full-128k-bpe-nfc-clean-balanced	1	128004	5602	1219	6783154	1456943	6245373	17923140.132061604	2.869827011462983	12.291597320504584	0.23328358450327946	0.004293235905591365	True	1:119012
full-128k-bpe-nfc-clean-balanced	full-128k-bpe-nfc-clean-balanced	2	128004	5602	1219	6783154	1456943	6245373	14447798.088325314	2.313360321044926	9.90822562124463	0.23328358450327946	0.004293235905591365	True	1:119013,2:2133878
full-128k-bpe-nfc-clean-balanced	full-128k-bpe-nfc-clean-balanced	3	128004	5602	1219	6783154	1456943	6245373	13989002.634267695	2.239898663261217	9.593586058522781	0.23328358450327946	0.004293235905591365	True	1:119013,2:2133879,3:4148211
full-128k-bpe-nfc-clean-balanced-v128k	full-128k-bpe-nfc-clean-balanced-v128k	1	128000	5602	1219	6764902	1452365	6245373	17864574.708480947	2.8604496014058642	12.290018814517047	0.23255056183193543	0.0041642424597122625	True	1:120207
